"Qty","Value","Device","Package","Parts","Description","DIGIKEY","MF","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","VALUE","VALUE_PART",
"3","","CONN_02SCREW_2.54","1X02_2.54_SCREWTERM","J3, J4, J5","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","ED10561-ND","OnShore","OSTVN02A150","","","","","",
"1","","R-EU_R0603","R0603","R8","RESISTOR, European symbol","P10KDBCT-ND ","Panasonic","ERA-3AEB103V","","","","","",
"1","","THERMISTOR10K","R0603","R6","Thermistor","490-16279-1-ND","Murata","NCU18XH103F60RB","","","","","",
"5","0.1uF","C-EU0.1UFC0603","C0603","C1, C3, C4, C7, C8","CAPACITOR, European symbol","490-6051-1-ND","Murata","GCM188R71E104KA57D","","","","","",
"3","0.1uF","C-EU0.1UFC0603","C0603","C6, C14, C17","CAPACITOR, European symbol","1276-1005-1-ND","Samsung","CL10B104KO8NNNC","","","","","",
"2","1.62M","R-EU_1.62MR0603","R0603","R9, R11","RESISTOR, European symbol","RMCF0603FT1M62TR-ND","Stackpole","RMCF0603FT1M62","","","","","1.62M",
"6","10k","R-EU_10KR0603","R0603","R1, R3, R12, R13, R15, R17","RESISTOR, European symbol","311-10.0KHRCT-ND","Yageo","RC0603FR-0710KL","","","","","10k",
"1","10uF","C-EU10UFC0805","C0805","C13","CAPACITOR, European symbol","1276-2405-1-ND","Samsung","CL21A106KQCLRNC","","","","","",
"4","12pF","C-EU12PFC0603","C0603","C5, C25, CX2, CX3","CAPACITOR, European symbol","1276-1254-1-ND","Samsung","CL10C120JB8NNNC","","","","","",
"1","180k","R-EU_180KR0603","R0603","R16","RESISTOR, European symbol","311-180KHRTR-ND","Yageo","RC0603FR-07180KL","","","","","180k",
"2","1uF","C-EU1UFC0603","C0603","C2, C9","CAPACITOR, European symbol","1276-6524-1-ND","Samsung","1276-6524-1-ND","","","","","",
"1","1uF","C-EU1UFC0603","C0603","C21","CAPACITOR, European symbol","1276-6524-1-ND","Samsung","CL10B105MO8NNWC","","","","","",
"2","27ohm","R-EU_27R0603","R0603","D+, D-","RESISTOR, European symbol","311-27.0HRCT-ND","Yageo","RC0603FR-0727RL","","","","","27",
"1","2N7002","MOSFET-NCH-2N7002PW","SOT323","Q3","N-channel MOSFETs","2N7002W-FDICT-ND","Diodes Incorporated","2N7002W-7-F","","","TRANS-11151","2N7002","",
"8","330","R-EU_330R0603","R0603","R2, R4, R5, R7, R10, R14, R23, R24","RESISTOR, European symbol","311-330HRCT-ND","Yageo","RC0603FR-07330RL","","","","","330",
"1","ATMEGA644M","ATMEGA644M","MLF44-TH","IC1","8-bit Microcontroller with 64K Bytes In-System Programmable Flash","ATMEGA644PA-MURCT-ND","Atmel","ATMEGA644PA-MUR","1748528","26R5636","","","",
"1","AVRISP-6","AVRISP-6","AVRISP","ISP2","AVR ISP HEADER","609-3234-ND","Amphenol","67997-206HLF","","","","","",
"1","BATTERY_COIN12MM","BATTERY_COIN12MM","LINX_BAT-HLD-012-SMT","BT1","Coin Cell Battery Holder","BAT-HLD-012-SMT-ND","Linx","BAT-HLD-012-SMT","","","","","",
"2","BUTTON4.2X3.2","BUTTON4.2X3.2","SWITCH_4.2X3.2","U$5, U$9","Genaric SPST Pushbutton","CKN10504CT-ND","C&K","PTS810 SJG 250 SMTR LFS","","","","","",
"2","CLVBA-FKA","CLVBA-FKA","CLVBA-FKA","U$15, U$16","Cree RGB LED, Small Package, Common Anode, CLVBA-FKA","CLVBA-FKA-CAEDH8BBB7A363CT-ND","Cree","CLVBA-FKA-CAEDH8BBB7A363","","","","","",
"1","CONN_42.54_SCREW","CONN_42.54_SCREW","1X04_SCREW","J1","Genaric 4 pin connector","ED10563-ND","On Shore","OSTVN04A150","","","","","",
"1","CONN_6SCREW_2.54","CONN_6SCREW_2.54","1X06_SCREW","J2","Genaric 6 pin header","ED10565-ND","OnShore","OSTVN06A150","","","","","",
"1","CRYSTAL8MHZ5X3.2","CRYSTAL8MHZ5X3.2","CRYSTAL_5X3.2_2-SMD","U$1","Crystal Oscilator","887-1740-1-ND","TXC","7A-8.000MAAE-T","","","","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q2","N-channel MOSFETs","DMG3404L-7DICT-ND","Diodes Incorporated","DMG3404L-7","","","","DMG3404","",
"1","DS3231M","DS3231M","SO08","RTC1","DS3231M Real Time Clock","DS3231MZ+-ND","Maxim","DS3231MZ+","","","","","",
"3","FDN360P","MOSFET_PCH-FDN360P","SOT23-3","Q1, Q4, Q6","P-channel MOSFETs","FDN360PCT-ND","Fairchild","FDN360P","","","","FDN360P","",
"1","FT231X-Q","FT231X-Q","QFN20","U2","FT231x - USB to UART Bridge","768-1128-1-ND","FTDI","FT231XQ-R","","","","","",
"1","JUMPER-SMT_2_NC_PASTE_SILK","JUMPER-SMT_2_NC_PASTE_SILK","SMT-JUMPER_2_NC_PASTE_SILK","JP2","Normally closed solder jumper","","","","","","","","",
"1","JUMPER-SMT_2_NO_SILK","JUMPER-SMT_2_NO_SILK","SMT-JUMPER_2_NO_SILK","JP3","Normally open jumper","","","","","","","","",
"1","JUMPER-SMT_3_1-NC_PASTE_SILK","JUMPER-SMT_3_1-NC_PASTE_SILK","SMT-JUMPER_3_1-NC_PASTE_SILK","JP1","Normally closed solder jumper (1 of 2 connections)","","","","","","","","",
"1","MAX6070AAUT18","MAX6070AAUT18","SOT23-6L","U$7","MAX6070 Low Noise high precision voltage referance","MAX6070BAUT18+TCT-ND","Maxim","MAX6070BAUT18+T","","","","","",
"1","MCP3425","MCP3425","SOT23-6L","U$8","MCP3425 - Sigma Delta ADC","MCP3425A0T-E/CHCT-ND","Microchip","MCP3425A0T-E/CH","","","","","",
"2","MIC842H","MIC842H","DCK_R-PDSO-G5","U$4, U$11","Comparator with internal voltage referance (1.24V), 5V and 3.3V compatable, 20mA output current","576-2926-1-ND","Microchip","MIC842HYC5-TR","","","","","",
"1","MICRO_USB_LONGPADS","MICRO_USB_LONGPADS","10118194-0001LF_10118194-0001LF_LONGER_PADS","MICRO_USB","","609-4618-1-ND","Amphenol","10118194-0001LF","","","","","",
"1","SDMMC06132","SDMMC06132","06132","U$3","SD MMC Card holder","3M5646CT-ND","3M","SD-RSMT-2-MQ-WF","","","","","",
"1","SN74AUP3G34DCU","SN74AUP3G34DCU","DCU_(R-PDSO-G8)","U$17","SN74AUP3G34 - Logic Buffer","296-25595-1-ND","TI","SN74AUP3G34DCUR","","","","","",
"1","SN74LVC1G3157DRL","SN74LVC1G3157DRL","DRL_R-PDSO-N6","U$13","SN74LVC1G3157 - SPDT Analog Switch","296-18015-1-ND","TI","SN74LVC1G3157DRLR","","","","","",
"2","TPS79733","TPS79733","DCK_R-PDSO-G5","U$6, U$10","TPS797xx, Ultra low power linear voltage regulator, fixed voltages of 1.8v, 3v, 3.3v","296-11990-1-ND","TI","TPS79733DCKR","","","","","",
